check_id,result,detail
H-SHELL-NAV-01,PASS,"FutureNavButton usages=2, expected=2 (T04/T05) at MainWindow.xaml."
H-SHELL-NAV-02,PASS,"10 destinations wired as NavButton; 2 remaining placeholders own one Content each."
H-SHELL-NAV-03,PASS,"FutureNavButton style hard-codes IsEnabled=False (placeholders stay visibly disabled)."
H-SHELL-WIRED-01,PASS,"Home/Explorer/DPVC/ROUTE handlers wired in XAML and defined in code-behind."
H-SHELL-HDR-01,PASS,"Reconnect/Attach and Screenshot header buttons wired and defined."
H-SHELL-CARD-01,PASS,"Sidebar and home-card entry points share Explorer_Click/Corridor_Click/Route_Click."
H-SHELL-ROUTE-01,PASS,"ROUTE-01..04 buttons wired and defined."
H-SHELL-FWD-01,PASS,"signature=True detached-message=True delegates=True disposed-guard=True no-reflection=True (plain event ?.Invoke x2)."
H-NAV-A-01,PASS,"Crossings=True Inspect=True Measure=True Coverage=True central-forwarder=True named-accessible-buttons=True."
H-NAV-A-02,PASS,"forwarding-failure-in-status=True busy-gated-nav-buttons=True (pages open; live actions gated in Workbench)."
H-NAV-B-01,PASS,"overlay-route=True review-route=True views-in-ShowTool=True gate-sync=True."
H-NAV-B-02,PASS,"shapes+engine-build=True drag-policy=True validation-markers=True runtime(good-accepted=True zero-radii-rejected=True single-point-rejected=True.)."
H-NAV-B-03,PASS,"operation-bound-contract=True runtime(visible=Visible pending=Pending stale-epoch=Superseded unknown=UnknownOperation isolated=True retire-safe=True.)."
H-NAV-B-04,PASS,"atomic+hash+no-credentials-contract=True runtime(round-trip=True hash-linked=True tamper-distinguished=True schema-rejected=True.)."
H-NAV-F-01,PASS,"sidebar-button=True showtool+refresh-gating=True session-free-view=True."
H-NAV-F-02,PASS,"action-contract=True runtime(registration=True disconnected-11-gated=True null-empty=True unsupported-codes=True.)."
H-BOUNDARY-01,PASS,"No private-reflection markers in 17 integrated files (System.Reflection use is version-read-only=True)."
H-ROUTE-SEL-01,PASS,"Single-active selection and first-visible fallback verified independently."
H-ROUTE-SEL-02,PASS,"Invisible active layer ignored; first visible layer selected."
H-ROUTE-SEL-03,PASS,"Ambiguous/no-visible/empty/null catalogs rejected with documented exceptions."
H-ROUTE-PLAN-01,PASS,"H-first bend, net-conflict unassigned, width bounds verified with hand-computed points."
H-SHELL-SHOWTOOL-01,PASS,"single ShowTool dispatcher=True home/explorer/corridor/route/overlay/review/padstacks/manufacturing/constraintsdrc/physicalsymbols keys=True."
H-EXPLORER-SESSION-01,PASS,"constructions=1 (expected 1) session-retained=True detach-on-dispose=True double-attach-refused=True."
H-PLACEHOLDER-01,PASS,"T04/T05 remain FutureNavButton placeholders; T09/T10/T12 are wired; T04/T05 native gates stay NOT_EXECUTED."
H-NAV-C-01,PASS,"t04-t05-placeholders=True section-fragment=True offline-pages=True (native T04/T05 gates NOT_EXECUTED)."
H-NAV-D-01,PASS,"sidebar-button=True showtool+attach=True hosted+disposed=True single-attach-contract=True."
H-NAV-D-02,PASS,"pending-package=True edit-run-disabled=True read-vs-execution-honesty=True (T09-02/03/05 NOT_EXECUTED)."
H-NAV-E-01,PASS,"sidebar-button=True showtool+refresh-gating=True session-free-view=True registration-source=True."
H-NAV-E-02,PASS,"policy-source=True runtime(registration=True ops17+actions21=True disconnected-gated=True reason-equals-truth=True null-empty=True production-empty=True offline-inspect=True vendor-limits=True.) (T10-01..06 native NOT_EXECUTED)."
H-NAV-G-01,PASS,"sidebar-button=True showtool+attach-refresh=True hosted+gated=True runner-default+automation=True."
H-NAV-G-02,PASS,"nogo-runner-source=True runtime(disconnected=True no-acquire=True missing-source=True ready=True artwork=True dupe-refused=True odb=True odb-empty-refused=True ipc=True nogo3=True promote-refused=True.) (T12-01..06 native NOT_EXECUTED)."
