check_id,result,detail
H-SHELL-NAV-01,FAIL,"FutureNavButton usages=5, expected=12 at MainWindow.xaml."
H-SHELL-NAV-02,FAIL,"Button Content count != 1: Crossing review, Geometry inspector, Pick / measure / ruler, Live overlay tools, Share / review view, Captured scenes."
H-SHELL-NAV-03,PASS,"FutureNavButton style hard-codes IsEnabled=False (placeholders stay visibly disabled)."
H-SHELL-WIRED-01,PASS,"Home/Explorer/DPVC/ROUTE handlers wired in XAML and defined in code-behind."
H-SHELL-HDR-01,PASS,"Reconnect/Attach and Screenshot header buttons wired and defined."
H-SHELL-CARD-01,PASS,"Sidebar and home-card entry points share Explorer_Click/Corridor_Click/Route_Click."
H-SHELL-ROUTE-01,PASS,"ROUTE-01..04 buttons wired and defined."
H-SHELL-FWD-01,PASS,"signature=True detached-message=True delegates=True disposed-guard=True no-reflection=True (plain event ?.Invoke x2)."
H-ROUTE-SEL-01,PASS,"Single-active selection and first-visible fallback verified independently."
H-ROUTE-SEL-02,PASS,"Invisible active layer ignored; first visible layer selected."
H-ROUTE-SEL-03,PASS,"Ambiguous/no-visible/empty/null catalogs rejected with documented exceptions."
H-ROUTE-PLAN-01,PASS,"H-first bend, net-conflict unassigned, width bounds verified with hand-computed points."
H-SHELL-SHOWTOOL-01,PASS,"single ShowTool dispatcher=True home/explorer/corridor/route keys=True."
H-EXPLORER-SESSION-01,PASS,"constructions=1 (expected 1) session-retained=True detach-on-dispose=True double-attach-refused=True."
