check_id,result,detail
H-NAV-B-02,PASS,"validation behavior only, source spelling retired: runtime(good-accepted=True zero-radii-rejected=True single-point-rejected=True.)."
H-NAV-B-03,PASS,"operation-bound behavior only, source spelling retired: runtime(visible=Visible pending=Pending stale-epoch=Superseded unknown=UnknownOperation isolated=True retire-safe=True.)."
H-NAV-B-04,PASS,"hash/link behavior only, source spelling retired: runtime(round-trip=True hash-linked=True tamper-distinguished=True schema-rejected=True.)."
H-NAV-F-02,PASS,"registration/availability behavior only, source spelling retired: runtime(registration=True disconnected-11-gated=True null-empty=True unsupported-codes=True.)."
H-NAV-F-03,PASS,"plan/refusal behavior only, source spelling retired: runtime(catalog8=True purge-honest=True targeted-refused=True receipt-refused=True.)."
H-BOUNDARY-01,PASS,"No private-reflection markers in 19 integrated files (System.Reflection use is version-read-only=True)."
H-ROUTE-SEL-01,PASS,"Single-active selection and first-visible fallback verified independently."
H-ROUTE-SEL-02,PASS,"Invisible active layer ignored; first visible layer selected."
H-ROUTE-SEL-03,PASS,"Ambiguous/no-visible/empty/null catalogs rejected with documented exceptions."
H-ROUTE-PLAN-01,PASS,"H-first bend, net-conflict unassigned, width bounds verified with hand-computed points."
H-NAV-D-02,PASS,"engine capability identity only; version-spelling assertions retired: engine-ids=True (T09-02/03/05 native NOT_EXECUTED)."
H-NAV-D-03,PASS,"comparison behavior only, source spelling retired: runtime(separator-key=True grouping=True waiver-persistent=True.)."
H-NAV-E-02,PASS,"policy behavior only, source spelling retired: runtime(registration=True ops17+actions21=True disconnected-gated=True reason-equals-truth=True null-empty=True production-empty=True offline-inspect=True vendor-limits=True.) (T10-01..06 native NOT_EXECUTED)."
H-NAV-E-03,PASS,"staging/refusal behavior only, source spelling retired: runtime(stage-pure=True foreign-extension-refused=True apply-without-preview-refused=True.) (T10-01..06 native NOT_EXECUTED)."
H-NAV-G-02,PASS,"offline-first/NoGo behavior only, source spelling retired: runtime(disconnected=True no-acquire=True missing-source=True ready=True artwork=True dupe-refused=True odb=True odb-empty-refused=True ipc=True nogo3=True promote-refused=True.) (T12-01..06 native NOT_EXECUTED)."
H-NAV-G-03,PASS,"headless-NoGo/guard behavior only, source spelling retired: runtime(odb-headless-nogo=True null-workspace-guard=True.) (T12-01..06 native NOT_EXECUTED)."
H-CAT-SEL-01,PASS,"catalog selection behavior: typed-rows=True non-first-selection=True identity-refresh=True missing-clears=True symbol-row=True."
H-DRC-VAL-01,FAIL,"input validation behavior: blank=True malformed-number=True malformed-boolean=True valid-number=True valid-boolean=True valid-symbol=True valid-text=True prepare-gated=False."
